1	Слушай	слушать	VERB	_	Aspect=Imp|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	0	root	_	SpacesAfter=\n|TokenRange=0:6
204	случаев	случай	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	203	nmod	_	SpacesAfter=\n|TokenRange=885:892
205	/	/	PUNCT	_	_	210	punct	_	SpacesAfter=\n|TokenRange=893:894
206	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	210	nsubj	_	SpacesAfter=\n|TokenRange=895:897
207	как	как	ADV	_	Degree=Pos	210	advmod	_	SpacesAfter=\n|TokenRange=898:901
208	бы	бы	PART	_	_	207	fixed	_	SpacesAfter=\n|TokenRange=902:904
209	/	/	PUNCT	_	_	181	punct	_	SpacesAfter=\n|TokenRange=905:906
210	знаешь	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	76	conj	_	SpacesAfter=\n|TokenRange=907:913
211	/	/	PUNCT	_	_	214	punct	_	SpacesAfter=\n|TokenRange=914:915
212	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	214	nsubj	_	SpacesAfter=\n|TokenRange=916:917
213	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	214	obj	_	SpacesAfter=\n|TokenRange=918:921
214	называю	называть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	76	conj	_	SpacesAfter=\n|TokenRange=922:929
215	/	/	PUNCT	_	_	218	punct	_	SpacesAfter=\n|TokenRange=930:931
216	в	в	ADP	_	_	217	case	_	SpacesAfter=\n|TokenRange=932:933
217	самолёте	самолет	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	218	obl	_	SpacesAfter=\n|TokenRange=934:942
218	летите	летить	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	76	conj	_	SpacesAfter=\n|TokenRange=943:949
219	/	/	PUNCT	_	_	223	punct	_	SpacesAfter=\n|TokenRange=950:951
220	/	/	PUNCT	_	_	223	punct	_	SpacesAfter=\n|TokenRange=952:953
221	вот	вот	PART	_	_	222	advmod	_	SpacesAfter=\n|TokenRange=954:957
222	вас	вы	PRON	_	Case=Acc|Number=Plur|Person=2	223	obj	_	SpacesAfter=\n|TokenRange=958:961
223	посадили	сажать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	76	conj	_	SpacesAfter=\n|TokenRange=962:970
224	рядом	рядом	ADV	_	Degree=Pos	223	advmod	_	SpacesAfter=\n|TokenRange=971:976
225	/	/	PUNCT	_	_	229	punct	_	SpacesAfter=\n|TokenRange=977:978
226	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	229	nsubj	_	SpacesAfter=\n|TokenRange=979:981
227	ээ	ээ	PRON	_	_	229	nsubj	_	SpacesAfter=\n|TokenRange=982:984
228	по	по	ADP	_	_	229	case	_	SpacesAfter=\n|TokenRange=985:987
229	факту	факт	NOUN	_	Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing	158	conj	_	SpacesAfter=\n|TokenRange=988:993
230	/	/	PUNCT	_	_	235	punct	_	SpacesAfter=\n|TokenRange=994:995
231	между	между	ADP	_	_	232	case	_	SpacesAfter=\n|TokenRange=996:1001
232	вами	вы	PRON	_	Case=Ins|Number=Plur|Person=2	235	obl	_	SpacesAfter=\n|TokenRange=1002:1006
233	общего	общий	ADJ	_	Case=Gen|Degree=Pos|Gender=Neut|Number=Sing	265	amod	_	SpacesAfter=\n|TokenRange=1007:1013
234	ничего	ничто	PRON	_	Case=Gen	235	nsubj	_	SpacesAfter=\n|TokenRange=1014:1020
235	может	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	76	conj	_	SpacesAfter=\n|TokenRange=1021:1026
236	и	и	PART	_	_	64	advmod	_	SpacesAfter=\n|TokenRange=1027:1028
237	не	не	PART	_	_	64	advmod	_	SpacesAfter=\n|TokenRange=1029:1031
238	быть	быть	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	235	xcomp	_	SpacesAfter=\n|TokenRange=1032:1036
239	/	/	PUNCT	_	_	158	punct	_	SpacesAfter=\n|TokenRange=1037:1038
240	/	/	PUNCT	_	_	76	punct	_	SpacesAfter=\n|TokenRange=1039:1040
241	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	158	conj	_	SpacesAfter=\n|TokenRange=1041:1043
242	просто	простой	ADJ	_	_	76	conj	_	SpacesAfter=\n|TokenRange=1044:1050
243	/	/	PUNCT	_	_	158	punct	_	SpacesAfter=\n|TokenRange=1051:1052
244	/	/	PUNCT	_	_	268	punct	_	SpacesAfter=\n|TokenRange=1053:1054
245	и	и	CCONJ	_	_	249	cc	_	SpacesAfter=\n|TokenRange=1055:1056
246	выйти	выйти	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	282	xcomp	_	SpacesAfter=\n|TokenRange=1057:1062
247	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	249	nsubj	_	SpacesAfter=\n|TokenRange=1063:1065
248	не	не	PART	_	_	249	advmod	_	SpacesAfter=\n|TokenRange=1066:1068
249	можете	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	76	conj	_	SpacesAfter=\n|TokenRange=1069:1075
250	одиннадцать	одиннадцать	NUM	_	Case=Acc	251	nummod:gov	_	SpacesAfter=\n|TokenRange=1076:1087
251	лет	год	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	249	obl	_	SpacesAfter=\n|TokenRange=1088:1091
252	по	по	ADP	_	_	253	case	_	SpacesAfter=\n|TokenRange=1092:1094
253	сути	суть	NOUN	_	Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing	251	nmod	_	SpacesAfter=\n|TokenRange=1095:1099
254	/	/	PUNCT	_	_	158	punct	_	SpacesAfter=\n|TokenRange=1100:1101
255	/	/	PUNCT	_	_	282	punct	_	SpacesAfter=\n|TokenRange=1102:1103
256	вот	вот	PART	_	_	258	advmod	_	SpacesAfter=\n|TokenRange=1104:1107
257	в	в	ADP	_	_	258	case	_	SpacesAfter=\n|TokenRange=1108:1109
258	университете	университет	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	282	obl	_	SpacesAfter=\n|TokenRange=1110:1122
259	у	у	ADP	_	_	260	case	_	SpacesAfter=\n|TokenRange=1123:1124
260	тебя	ты	PRON	_	Case=Gen|Number=Sing|Person=2	268	obl	_	SpacesAfter=\n|TokenRange=1125:1129
261	хотя	хотя	PART	_	_	263	advmod	_	SpacesAfter=\n|TokenRange=1130:1134
262	бы	бы	PART	_	_	261	fixed	_	SpacesAfter=\n|TokenRange=1135:1137
263	какие-то	какой-то	DET	_	Case=Nom|Number=Plur	264	det	_	SpacesAfter=\n|TokenRange=1138:1146
264	больше	много	NUM	_	_	158	nsubj	_	SpacesAfter=\n|TokenRange=1147:1153
265	точки	точка	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	264	obl	_	SpacesAfter=\n|TokenRange=1154:1159
266	соприкосновения	соприкосновение	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	265	nmod	_	SpacesAfter=\n|TokenRange=1160:1175
267	потенциально	потенциально	ADV	_	Degree=Pos	268	advmod	_	SpacesAfter=\n|TokenRange=1176:1188
268	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	76	conj	_	SpacesAfter=\n|TokenRange=1189:1193
269	/	/	PUNCT	_	_	276	punct	_	SpacesAfter=\n|TokenRange=1194:1195
270	/	/	PUNCT	_	_	274	punct	_	SpacesAfter=\n|TokenRange=1196:1197
271	в	в	ADP	_	_	272	case	_	SpacesAfter=\n|TokenRange=1198:1199
272	школе	школа	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	268	obl	_	SpacesAfter=\n|TokenRange=1200:1205
273	этого	это	PRON	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	274	nsubj	_	SpacesAfter=\n|TokenRange=1206:1211
274	нет	нет	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	282	conj	_	SpacesAfter=\n|TokenRange=1212:1215
275	совсем	совсем	ADV	_	Degree=Pos	276	obl	_	SpacesAfter=\n|TokenRange=1216:1222
276	но	но	PART	_	_	91	nsubj	_	SpacesAfter=\n|TokenRange=1223:1225
277	.	.	PUNCT	_	_	276	punct	_	SpacesAfter=\n|TokenRange=1226:1227
278	.	.	PUNCT	_	_	276	punct	_	SpacesAfter=\n|TokenRange=1228:1229
279	.	.	PUNCT	_	_	276	punct	_	SpacesAfter=\n|TokenRange=1230:1231
280	/	/	PUNCT	_	_	282	punct	_	SpacesAfter=\n|TokenRange=1232:1233
281	мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	282	iobj	_	SpacesAfter=\n|TokenRange=1234:1237
282	нравились	нравиться	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	76	conj	_	SpacesAfter=\n|TokenRange=1238:1247
283	мои	мой	DET	_	Case=Nom|Number=Plur	285	det	_	SpacesAfter=\n|TokenRange=1248:1251
284	университетские	университетский	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	285	amod	_	SpacesAfter=\n|TokenRange=1252:1267
285	годы	год	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur	282	nsubj	_	SpacesAfter=\n|TokenRange=1268:1272
286	/	/	PUNCT	_	_	289	punct	_	SpacesAfter=\n|TokenRange=1273:1274
287	не	не	PART	_	_	289	advmod	_	SpacesAfter=\n|TokenRange=1275:1277
288	из-за	из-за	ADP	_	_	289	case	_	SpacesAfter=\n|TokenRange=1278:1283
289	университета	университет	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	285	nmod	_	SpacesAfter=\n|TokenRange=1284:1296
290	/	/	PUNCT	_	_	289	punct	_	SpacesAfter=\n|TokenRange=1297:1298
291	/	/	PUNCT	_	_	297	punct	_	SpacesAfter=\n|TokenRange=1299:1300
292	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	297	nsubj	_	SpacesAfter=\n|TokenRange=1301:1302
293	не	не	PART	_	_	297	advmod	_	SpacesAfter=\n|TokenRange=1303:1305
294	была	быть	AUX	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	297	cop	_	SpacesAfter=\n|TokenRange=1306:1310
295	ни	ни	PART	_	_	297	advmod	_	SpacesAfter=\n|TokenRange=1311:1313
296	на	на	ADP	_	_	297	case	_	SpacesAfter=\n|TokenRange=1314:1316
297	одном	один	NUM	_	Case=Loc|Gender=Masc	289	conj	_	SpacesAfter=\n|TokenRange=1317:1322
298	/	/	PUNCT	_	_	300	punct	_	SpacesAfter=\n|TokenRange=1323:1324
299	ни	ни	CCONJ	_	_	300	cc	_	SpacesAfter=\n|TokenRange=1325:1327
300	посвяте	посвять	VERB	_	Aspect=Perf|Mood=Imp|Number=Plur|Person=2|VerbForm=Fin|Voice=Act	289	conj	_	SpacesAfter=\n|TokenRange=1328:1335
301	/	/	PUNCT	_	_	303	punct	_	SpacesAfter=\n|TokenRange=1336:1337
302	ни	ни	CCONJ	_	_	303	cc	_	SpacesAfter=\n|TokenRange=1338:1340
303	экваторе	экватор	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	289	conj	_	SpacesAfter=\n|TokenRange=1341:1349
304	/	/	PUNCT	_	_	306	punct	_	SpacesAfter=\n|TokenRange=1350:1351
305	ни	ни	CCONJ	_	_	306	cc	_	SpacesAfter=\n|TokenRange=1352:1354
306	выпускном	выпускной	ADJ	_	Case=Loc|Degree=Pos|Gender=Masc|Number=Sing	289	conj	_	SpacesAfter=\n|TokenRange=1355:1364
307	/	/	PUNCT	_	_	309	punct	_	SpacesAfter=\n|TokenRange=1365:1366
308	ни	ни	PART	_	_	309	advmod	_	SpacesAfter=\n|TokenRange=1367:1369
309	чём	что	PRON	_	Case=Ins	289	conj	_	SpacesAfter=\n|TokenRange=1370:1373
310	/	/	PUNCT	_	_	315	punct	_	SpacesAfter=\n|TokenRange=1374:1375
311	/	/	PUNCT	_	_	315	punct	_	SpacesAfter=\n|TokenRange=1376:1377
312	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	282	nsubj	_	SpacesAfter=\n|TokenRange=1378:1379
313	вообще	вообще	ADV	_	Degree=Pos	315	obl	_	SpacesAfter=\n|TokenRange=1380:1386
314	какая-то	какой-то	DET	_	Case=Nom|Gender=Fem|Number=Sing	315	det	_	SpacesAfter=\n|TokenRange=1387:1395
315	несоциальная	несоциальный	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	282	conj	_	SpacesAfter=\n|TokenRange=1396:1408
316	в	в	ADP	_	_	318	case	_	SpacesAfter=\n|TokenRange=1409:1410
317	этом	этот	DET	_	Case=Loc|Gender=Masc|Number=Sing	318	det	_	SpacesAfter=\n|TokenRange=1411:1415
318	плане	план	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	315	nmod	_	SpacesAfter=\n|TokenRange=1416:1421
319	/	/	PUNCT	_	_	321	punct	_	SpacesAfter=\n|TokenRange=1422:1423
320	/	/	PUNCT	_	_	321	punct	_	SpacesAfter=\n|TokenRange=1424:1425
321	воот	воот	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	315	parataxis	_	SpacesAfter=\n|TokenRange=1426:1430
322	/	/	PUNCT	_	_	325	punct	_	SpacesAfter=\n|TokenRange=1431:1432
323	не	не	PART	_	_	309	advmod	_	SpacesAfter=\n|TokenRange=1433:1435
324	/	/	PUNCT	_	_	325	punct	_	SpacesAfter=\n|TokenRange=1436:1437
325	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	321	nmod	_	SpacesAfter=\n|TokenRange=1438:1439
326	#	#	PUNCT	_	_	181	punct	_	SpaceAfter=No|TokenRange=1440:1441
327	нрзб	нрзб	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	332	conj	_	SpaceAfter=No|TokenRange=1441:1445
328	#	#	PUNCT	_	_	327	punct	_	SpacesAfter=\n|TokenRange=1445:1446
329	/	/	PUNCT	_	_	332	punct	_	SpacesAfter=\n|TokenRange=1447:1448
330	ой	ой	INTJ	_	_	332	discourse	_	SpacesAfter=\n|TokenRange=1449:1451
331	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	332	nsubj	_	SpacesAfter=\n|TokenRange=1452:1453
332	пила	пить	VERB	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	282	parataxis	_	SpacesAfter=\n|TokenRange=1454:1458
333	/	/	PUNCT	_	_	335	punct	_	SpacesAfter=\n|TokenRange=1459:1460
334	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	335	nsubj	_	SpacesAfter=\n|TokenRange=1461:1462
335	пила	пить	VERB	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	332	conj	_	SpacesAfter=\n|TokenRange=1463:1467
336	/	/	PUNCT	_	_	332	punct	_	SpacesAfter=\n|TokenRange=1468:1469
337	/	/	PUNCT	_	_	347	punct	_	SpacesAfter=\n|TokenRange=1470:1471
338	все	весь	DET	_	Case=Nom|Number=Plur	341	det	_	SpacesAfter=\n|TokenRange=1472:1475
339	мои	мой	DET	_	Case=Nom|Number=Plur	341	det	_	SpacesAfter=\n|TokenRange=1476:1479
340	смешные	смешной	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	341	amod	_	SpacesAfter=\n|TokenRange=1480:1487
341	истории	история	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur	347	nsubj	_	SpacesAfter=\n|TokenRange=1488:1495
342	/	/	PUNCT	_	_	347	punct	_	SpacesAfter=\n|TokenRange=1496:1497
343	про	про	ADP	_	_	347	case	_	SpacesAfter=\n|TokenRange=1498:1501
344	там	там	ADV	_	Degree=Pos	347	advmod	_	SpacesAfter=\n|TokenRange=1502:1505
345	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	347	nsubj	_	SpacesAfter=\n|TokenRange=1506:1507
346	не	не	PART	_	_	347	advmod	_	SpacesAfter=\n|TokenRange=1508:1510
347	знаю	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	194	acl:relcl	_	SpacesAfter=\n|TokenRange=1511:1515
348	/	/	PUNCT	_	_	347	punct	_	SpacesAfter=\n|TokenRange=1516:1517
349	оры	оры	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur	347	nsubj	_	SpacesAfter=\n|TokenRange=1518:1521
350	в	в	ADP	_	_	351	case	_	SpacesAfter=\n|TokenRange=1522:1523
351	такси	такси	NOUN	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	349	nmod	_	SpacesAfter=\n|TokenRange=1524:1529
352	и	и	CCONJ	_	_	357	cc	_	SpacesAfter=\n|TokenRange=1530:1531
353	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	357	nsubj	_	SpacesAfter=\n|TokenRange=1532:1535
354	/	/	PUNCT	_	_	357	punct	_	SpacesAfter=\n|TokenRange=1536:1537
355	это	это	PRON	_	_	357	cop	_	SpacesAfter=\n|TokenRange=1538:1541
356	всё	весь	DET	_	Case=Nom|Gender=Neut|Number=Sing	357	det	_	SpacesAfter=\n|TokenRange=1542:1545
357	времён	время	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur	347	conj	_	SpacesAfter=\n|TokenRange=1546:1552
358	университета	университет	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	357	nmod	_	SpacesAfter=\n|TokenRange=1553:1565
359	/	/	PUNCT	_	_	347	punct	_	SpacesAfter=\n|TokenRange=1566:1567
360	/	/	PUNCT	_	_	347	punct	_	SpacesAfter=\n|TokenRange=1568:1569
361	какие-то	какой-то	DET	_	Case=Nom|Number=Plur	341	det	_	SpacesAfter=\n|TokenRange=1570:1578
362	игры	игра	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur	194	conj	_	SpacesAfter=\n|TokenRange=1579:1583
363	/	/	PUNCT	_	_	347	punct	_	SpacesAfter=\n|TokenRange=1584:1585
364	когда	когда	SCONJ	_	_	370	mark	_	SpacesAfter=\n|TokenRange=1586:1591
365	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	347	nsubj	_	SpacesAfter=\n|TokenRange=1592:1594
366	там	там	ADV	_	Degree=Pos	347	advmod	_	SpacesAfter=\n|TokenRange=1595:1598
367	/	/	PUNCT	_	_	357	punct	_	SpacesAfter=\n|TokenRange=1599:1600
368	с	с	ADP	_	_	369	case	_	SpacesAfter=\n|TokenRange=1601:1602
369	девочками	девочка	NOUN	_	Animacy=Anim|Case=Ins|Gender=Fem|Number=Plur	370	obl	_	SpacesAfter=\n|TokenRange=1603:1612
370	приходили	приходить	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	347	conj	_	SpacesAfter=\n|TokenRange=1613:1622
371	в	в	ADP	_	_	374	case	_	SpacesAfter=\n|TokenRange=1623:1624
372	только	только	PART	_	_	373	advmod	_	SpacesAfter=\n|TokenRange=1625:1631
373	открывшийся	открыться	VERB	_	Animacy=Inan|Aspect=Perf|Case=Acc|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Mid	374	acl	_	SpacesAfter=\n|TokenRange=1632:1643
374	Gypsy	Gypsy	PROPN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	370	obl	_	SpacesAfter=\n|TokenRange=1644:1649
375	и	и	CCONJ	_	_	377	cc	_	SpacesAfter=\n|TokenRange=1650:1651
376	/	/	PUNCT	_	_	377	punct	_	SpacesAfter=\n|TokenRange=1652:1653
377	делали	делать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	347	conj	_	SpacesAfter=\n|TokenRange=1654:1660
378	ставки	ставка	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	377	obj	_	SpacesAfter=\n|TokenRange=1661:1667
379	/	/	PUNCT	_	_	382	punct	_	SpacesAfter=\n|TokenRange=1668:1669
380	кто	кто	PRON	_	Case=Nom	382	nsubj	_	SpacesAfter=\n|TokenRange=1670:1673
381	первый	первый	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	382	obl	_	SpacesAfter=\n|TokenRange=1674:1680
382	намутит	намутить	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	347	conj	_	SpacesAfter=\n|TokenRange=1681:1688
383	бесплатно	бесплатно	ADV	_	Degree=Pos	382	advmod	_	SpacesAfter=\n|TokenRange=1689:1698
384	бутылку	бутылка	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	382	obj	_	SpacesAfter=\n|TokenRange=1699:1706
385	вина	вино	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	384	nmod	_	SpacesAfter=\n|TokenRange=1707:1711
386	/	/	PUNCT	_	_	392	punct	_	SpacesAfter=\n|TokenRange=1712:1713
387	и	и	CCONJ	_	_	392	cc	_	SpacesAfter=\n|TokenRange=1714:1715
388	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	392	nsubj	_	SpacesAfter=\n|TokenRange=1716:1717
389	там	там	ADV	_	Degree=Pos	392	advmod	_	SpacesAfter=\n|TokenRange=1718:1721
390	/	/	PUNCT	_	_	392	punct	_	SpacesAfter=\n|TokenRange=1722:1723
391	её	она	PRON	_	Case=Acc|Gender=Fem|Number=Sing|Person=3	392	obj	_	SpacesAfter=\n|TokenRange=1724:1726
392	намучивала	намучивать	VERB	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	76	conj	_	SpacesAfter=\n|TokenRange=1727:1737
393	/	/	PUNCT	_	_	395	punct	_	SpacesAfter=\n|TokenRange=1738:1739
394	куда-то	куда-то	ADV	_	Degree=Pos	395	advmod	_	SpacesAfter=\n|TokenRange=1740:1747
395	убегала	убегать	VERB	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	76	conj	_	SpacesAfter=\n|TokenRange=1748:1755
396	/	/	PUNCT	_	_	397	punct	_	SpacesAfter=\n|TokenRange=1756:1757
397	выпивала	выпивать	VERB	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	76	conj	_	SpacesAfter=\n|TokenRange=1758:1766
398	её	она	PRON	_	Case=Acc|Gender=Fem|Number=Sing|Person=3	397	obj	_	SpacesAfter=\n|TokenRange=1767:1769
399	/	/	PUNCT	_	_	400	punct	_	SpacesAfter=\n|TokenRange=1770:1771
400	цели	цель	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	398	appos	_	SpacesAfter=\n|TokenRange=1772:1776
401	.	.	PUNCT	_	_	1	punct	_	SpacesAfter=\n|TokenRange=1777:1778